PDB,TM
1A0PA1,0
1A1XA1,0
1A32A1,0
1A3HA1,0
1A62A1,0
1A8OA1,0
1A8QA1,0
1A8YA1,0
1AAJA1,0
1AD6A1,0
1AHOA1,0
1AIEA1,0
1AILA1,0
1AJMA1,0
1AK1A1,0
1AKGA1,0
1AKOA1,0
1ALYA1,0
1AM2A1,0
1AMXA1,0
1ANUA1,0
1AOAA1,0
1AQTA1,0
1ARBA1,0
1ARLA1,0
1AT0A1,0
1AVKA1,0
1AX8A1,0
1B0XA1,0
1B0ZA1,0
1B24A1,0
1B6WA1,0
1B73A1,0
1B8EA1,0
1B8KA1,0
1B9WA1,0
1BAMA1,0
1BCOA1,0
1BEAA1,0
1BEOA1,0
1BFGA1,0
1BG6A1,0
1BGCA1,0
1BGFA1,0
1BGTA1,0
1BHEA1,0
1BHSA1,0
1BI1A1,0
1BI5A1,0
1BIAA1,0
1BJTA1,0
1BJZA1,0
1BKBA1,0
1BKRA1,0
1BM8A1,0
1BN6A1,0
1BOLA1,0
1BOYA1,0
1BQCA1,0
1BR9A1,0
1BY9A1,0
1BYIA1,0
1BYRA1,0
1BZ4A1,0
1C25A1,0
1C3KA1,0
1C3PA1,0
1C44A1,0
1C4XA1,0
1C76A1,0
1CBGA1,0
1CDYA1,0
1CEIA1,0
1CEMA1,0
1CEOA1,0
1CFRA1,0
1CHDA1,0
1CHUA1,0
1CIYA1,0
1CJSA1,0
1CNVA1,0
1CQYA1,0
1CRZA1,0
1CUKA1,0
1CWYA1,0
1CYWA1,0
1D2PA1,0
1DABA1,0
1DB3A1,0
1DBHA1,0
1DCFA1,0
1DDWA1,0
1DF4A1,0
1DFAA1,0
1DG3A1,0
1DHNA1,0
1DINA1,0
1DIXA1,0
1DQ0A1,0
1DSLA1,0
1DTOA1,0
1DUAA1,0
1DUNA1,0
1DUSA1,0
1DV7A1,0
1DVOA1,0
1DZFA1,0
1E4FT1,0
1E8YA1,0
1E9WA1,0
1ECLA1,0
1EDGA1,0
1EDNA1,0
1EDQA1,0
1EDTA1,0
1EG3A1,0
1EHDA1,0
1EI5A1,0
1EJGA1,0
1ENHA1,0
1EP0A1,0
1EPUA1,0
1ES5A1,0
1ES9A1,0
1ESCA1,0
1ESRA1,0
1ETLA1,0
1ETMA1,0
1ETNA1,0
1EURA1,0
1EVSA1,0
1EW4A1,0
1EYBA1,0
1EYHA1,0
1F00I1,0
1F0MA1,0
1F1SA1,0
1F2JA1,0
1F2VA1,0
1F32A1,0
1F7CA1,0
1F94A1,0
1FC6A1,0
1FCQA1,0
1FEPA1,0
1FEWA1,0
1FHGA1,0
1FHLA1,0
1FHUA1,0
1FI4A1,0
1FIMA1,0
1FKMA1,0
1FL0A1,0
1FMKA1,0
1FNFA1,0
1FNJA1,0
1FO9A1,0
1FQIA1,0
1FSFA1,0
1FUSA1,0
1G4WR1,0
1G62A1,0
1G7RA1,0
1G8AA1,0
1G8PA1,0
1G95A1,0
1GAKA1,0
1GBSA1,0
1GCEA1,0
1GCUA1,0
1GFSA1,0
1GLNA1,0
1GP3A1,0
1GPPA1,0
1GPRA1,0
1GQEA1,0
1GQNA1,0
1GQZA1,0
1GRJA1,0
1GS9A1,0
1GSHA1,0
1GSMA1,0
1GSOA1,0
1GVPA1,0
1GXNA1,0
1GXQA1,0
1GY0A1,0
1GYDB1,0
1GYUA1,0
1GYVA1,0
1H09A1,0
1H13A1,0
1H34A1,0
1H3QA1,0
1H4AX1,0
1H4UA1,0
1H6TA1,0
1H75A1,0
1H99A1,0
1HARA1,0
1HBQA1,0
1HE9A1,0
1HF8A1,0
1HH1A1,0
1HH2P1,0
1HJEA1,0
1HKAA1,0
1HKFA1,0
1HOEA1,0
1HPTA1,0
1HTJF1,0
