database;class;sequence id;length (aa);HCA score;% strong hydrophobic;sequence coverage by foldable segment;number of removed aa
SCOPe;d;d3vpea_;259;-1.30;0.27;0.88;0
SCOPe;d;d1obba2;308;0.97;0.36;0.87;0
SCOPe;d;d1f44a2;214;-0.76;0.33;0.79;0
SCOPe;d;d1zoya2;87;-0.80;0.34;0.91;0
SCOPe;d;d4esma_;276;0.41;0.38;0.96;0
SCOPe;d;d2hg7a1;60;-1.18;0.35;0.88;0
SCOPe;d;d2ra5a1;180;-1.70;0.31;0.83;0
SCOPe;d;d1ry9a_;133;4.85;0.46;1.00;0
SCOPe;d;d1mzga1;136;0.94;0.38;0.89;0
SCOPe;d;d2bjoa_;135;-1.84;0.29;0.76;0
SCOPe;d;d1p9qc2;85;0.84;0.34;0.99;0
SCOPe;d;d2ffma_;83;0.51;0.35;0.99;0
SCOPe;d;d2ejea1;101;2.53;0.39;0.95;0
SCOPe;d;d1wmia1;88;3.52;0.40;0.93;0
SCOPe;d;d2odka1;51;-1.78;0.33;0.92;0
SCOPe;d;d1zhxa2;433;-0.86;0.32;0.88;0
SCOPe;d;d2qlvb2;107;-1.67;0.36;0.50;0
SCOPe;d;d2prva1;152;0.84;0.38;0.79;0
SCOPe;d;d3re2a1;202;0.35;0.37;0.87;0
SCOPe;a;d1gh6a1;111;0.23;0.31;0.89;0
SCOPe;a;d2ck3h1;40;-5.88;0.23;0.23;0
SCOPe;a;d1ysma1;55;0.71;0.25;0.84;0
SCOPe;a;d1cora_;82;-2.77;0.28;0.54;0
SCOPe;a;d3vrda1;80;-0.34;0.28;0.85;0
SCOPe;a;d1zq3p1;67;-2.22;0.24;0.55;0
SCOPe;a;d1hlva2;63;0.89;0.35;0.84;0
SCOPe;a;d2iu5a1;71;2.20;0.37;0.93;0
SCOPe;a;d3osga1;57;-1.16;0.26;0.96;0
SCOPe;a;d1zyba1;73;0.90;0.36;0.88;0
SCOPe;a;d1wwxa1;94;0.81;0.36;0.84;0
SCOPe;a;d1zh5a1;99;1.27;0.34;0.74;0
SCOPe;a;d1tqia1;90;1.52;0.40;0.96;0
SCOPe;a;d3bz6a2;84;0.38;0.35;0.90;0
SCOPe;a;d4q48a3;105;-2.89;0.30;0.79;0
SCOPe;a;d3gw2a_;93;-1.22;0.30;0.92;0
SCOPe;a;d3df8a1;106;2.48;0.39;0.97;0
SCOPe;a;d1ef4a_;55;3.44;0.42;0.95;0
SCOPe;a;d2cpwa1;51;-3.57;0.25;0.67;0
SCOPe;a;d4pc3c1;53;-1.53;0.25;0.72;0
SCOPe;a;d1cuna2;104;-0.37;0.27;0.84;0
SCOPe;a;d1x79a_;89;1.35;0.33;0.99;0
SCOPe;a;d3bvxa1;111;1.69;0.36;0.97;0
SCOPe;a;d4i9oa_;78;2.38;0.32;0.95;0
SCOPe;a;d1u96a_;69;-2.86;0.28;0.62;0
SCOPe;a;d1f1ea_;151;-1.87;0.30;0.75;0
SCOPe;a;d2gboa1;82;3.35;0.35;0.98;0
SCOPe;d;d1t07a1;79;-0.84;0.32;0.94;0
SCOPe;d;d4ltta1;88;1.95;0.42;0.92;0
SCOPe;d;d3d55a_;68;-1.94;0.31;0.97;0
SCOPe;d;d1z1aa1;128;-0.03;0.38;0.91;0
SCOPe;d;d2qrdb_;93;-1.65;0.31;0.76;0
SCOPe;d;d2jfda1;69;-1.38;0.29;0.75;0
SCOPe;a;d1asha_;147;-1.26;0.31;0.79;0
SCOPe;a;d1hlba_;157;0.82;0.34;0.96;0
SCOPe;a;d2o37a_;81;-2.63;0.26;0.78;0
SCOPe;a;d1aqta1;50;-4.24;0.22;0.44;0
SCOPe;a;d1f1ca_;129;-0.61;0.33;0.92;0
SCOPe;a;d3vrda2;94;1.27;0.31;0.96;0
SCOPe;a;d1x58a1;49;2.10;0.37;0.84;0
SCOPe;a;d1wh5a1;67;-3.46;0.27;0.57;0
SCOPe;a;d1bw6a_;56;-3.54;0.27;0.70;0
SCOPe;a;d3osga2;54;1.96;0.35;0.76;0
SCOPe;a;d1usta_;92;-2.77;0.25;0.75;0
SCOPe;a;d1duxc_;86;1.86;0.40;0.98;0
SCOPe;a;d2hr3a1;145;-1.44;0.28;0.83;0
